"S.No","District","Paddy(Kgs)","Cholam(Kgs)","Maize(Kgs)","Cumbu(Kgs)","Ragi(Kgs)","Kudiraivali(Kgs)","Samai(Kgs)","Varagu(Kgs)","Thenai(Kgs)","Redgram(Kgs)","Blackgram(Kgs)","Greengram(Kgs)","Cowpea(Kgs)","Horsegram(Kgs)","Bengalgram(Kgs)","Groundnut(Kgs)","Gingelly(Kgs)","Castor(Kgs)","Sunflower(Kgs)","Cotton(Kgs)","BGA(Kgs)","IPU94.1(Kgs)","Green manure seeds(Kgs)","Coconut seedling Tall(Nos)","Coconut Seedling TXD(Nos)","Coconut Seedling DXT(Nos)","ART(Nos)","TNAU,CMS,2A(Kgs)","K6 Minikit(Nos)","Paddy minikit(Nos)","Maize Minikit(Nos)","BlackGram Minikit(Nos)","Green Gram Minikit(Nos)","Red Gram Mini kit(Nos)","Ground nut Minikit(Nos)","Gingelly Minikit(Nos)","Sun Flower Minikit(Nos)","TxD Nuts(Nos)","DxT Nuts(Nos)","Tall nuts(Nos)","ART Groundnut Kharif-2015(Gram)","Moth Bean(Kgs)","Him(Kgs)","Soy Bean(Kgs)","Sugarcane(Nos)","Sun Hemp(Kgs)","Daincha(Kgs)","Cluster Beans(Kgs)","ART Groundnut Rabi-2015(Kgs)","ART(Kgs)","Coconut Seedlings COD(Nos)","Pungam Seedlings(Nos)","Panivaragu(Kgs)","Amla(Nos)","Anjan grass(Kgs)","Fodder Sorghum(Kgs)","Vellimasal(Kgs)","Cumbu napier(Kgs)","Muyal masal(Kgs)","Sorghum(Kgs)","Sesbania(Gram)","Palm Nuts(Nos)","Mango(Nos)","Guava(Nos)","Cotton ART-II(Kgs)","Papaya Seedlings(Nos)","Jack Seeding(Nos)","Kitchen Garden Kit(Nos)","AMK(Nos)","Amla(Nos)","Custerd Apple Seedling(Nos)","ART sesame(Kgs)","Kodo Millet(Kgs)","Finger Millet Ragi(Kgs)","CUMBU(Kgs)","Barnyard millet(Kgs)","Kuthirai vali(Kgs)","GROUNDNUT MINI KIT(Kgs)","JOWAR(Kgs)","Sorghum CSV 31 CS(Kgs)","Pulses(Kgs)","Fodder seeds(Kgs)","Pomegranate(Nos)","Forage Sorghum(Kgs)","Sesame(Kgs)","Ragi Minikit(Kgs)","Proso Millet(Kgs)","Fox tail Millet(Kgs)","Kuthiravaali(Kgs)","Sapota(Kgs)","ART(Kgs)","Hedge Lucerne / vellimasal(Kgs)","Greengram(Kgs)","Breeder Seed(Kgs)","Forage Bajra(Kgs)","Samai(Kgs)","Vegetable Cowpea(Kgs)","Ablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Lablab (Avarai)(Kgs)","Perennial Redgram(Kgs)","Traditional paddy(Kgs)"
"1","Ariyalur","63335","","0","2778","","","","0","","","22554","","","","","154657","6506","","","0","","","0","0","","","","","","","","","","","","","","","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","","","","","","","","","","","","","","","","",""
"2","Chengalpattu","110315","","220","","1112","","","","","","8696","","","","","38983","880","","","","","","32390","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","1284","","","","","","","","","","","","","","","","",""
"3","Coimbatore","5648","61152","0","1428","","","","0","","90","6004","1804","1696","466","65","5865","1128","","","228","","","","0","0","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","","","","","","","","","","","","","","","","",""
"4","Cuddalore","256702","","0","0","5","","","13658","0","0","215287","17018","","","","29921","6226","","","","0","","5300","0","","","","","","","","","","","","","","","","","","","","25","","","4850","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","2030","","","","","","","","","","","","","","","","","730"
"5","Dharmapuri","102555","280","0","6126","82605","","0","","0","2924","12634","2301","13614","2778","8314","54151","","","","1110","","","22393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Dindigul","26969","44411","0","2345","","0","","","","1","1690","","1158","","83","30309","230","","135","150","0","","1360","0","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","274","","","","","","","","","","","","","","","","",""
"7","Erode","29503","2483","554","434","1286","","","0","","811","25104","1113","1341","1084","","31076","4951","","","553","0","","1780","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","1111","","","","","","","","","","","","","","","","",""
"8","Kallakuruchi","195122","","1640","19483","6856","","","1835","0","","20305","","","","","23319","13649","","","530","","","0","0","","","","","","","","","","","","","","","","","","","","","","","4120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3836","","","","","","","","","","","","","","","","",""
"9","Kancheepuram","144868","","50","","5","","","","","","17189","5604","","","","515","1646","","","","4250","","4300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","","","","","","","","","","","","","","","","",""
"10","Kanyakumari","49932","","","","","","","","","","4674","","","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
