District,Urea,Imported Urea,DAP,Imported DAP,MOP,Amm Sulphate,SSP-Powdered,20-20-0-13,10-26-26,NFCL Kakinada-I Urea,17-17-17,Imported 16-16-16,Imported 20-20-0-13,City Compost,16-20-0-13,15-15-15,28-28-0,RCF Thal Urea,RCF Trombay Urea,IFFCO Kalol Urea,Imported 15-15-15-9,IFFCO Phulpur-I Urea,NFCL Kakinada-II Urea,Imported 12-32-16,Imported 14-35-14,Imported 17-17-17,Imported 16-20-0-13,16-20-0,Imported 14-28-14,Imported 15-15-15,Imported 13-33-0-6,Imported 10-26-26,Imported 16-20-0,Boronated 12-32-16,20-20-0-13(UAP),SSP-Zincated(Granular),SSP-Zincated(Powder),24-24-0-8,Zincated DAP,SSP-Boronated,Zincated 12-32-16,Zincated 10-26-26,Boronated 10-26-26,Boronated 15-15-15,Imported 28-28-0,Imported 24-24-0,Imported 23-23-0,Imported 20-20-0,Imported 19-19-19,Neem Coated Urea(45 Kg),Imported MAP,Boronated DAP,16-16-16,15-15-15-9,14-35-14,14-28-14,12-32-16,24-24-0,23-23-0,20-20-0,SSP-Granular,TSP,Imported MAP Lite,MAP,Imported DAP Lite-Grade II,DAP Lite,19-19-19,13-33-0-6,Imported DAP Lite,Zincated 20-20-0-13,CFCL Gadepan-II Urea,CFCL Gadepan-I Urea,NFL Vijaipur-II Urea,IFFCO Aonla-II Urea,IFFCO Aonla-I Urea,IFFCO Phulpur-II Urea,BVFCL Namrup-III Urea,BVFCL Namrup-II Urea,NFL Vijaipur-I Urea,NFL Panipat Urea,NFL Bhatinda Urea,NFL Nangal-II Urea,Amm Chloride
Ariyalur,,,350.2,236.7,350.5,151.3,93.9,821.5,64.2,,,171.25,193.3,,56.45,,13.8,,,,,,,,,,13.15,,,0.2,,64.8,,,,,,,,,,,,,,,,,,841.33,,,,6.6,,,,,,,93.05,,,,,,,,,16.85,,,,,,,,,,,,,
Chengalpattu,,,151.85,405.3,299.67,89.15,105.5,768.65,0.05,,,181.5,154.0,,174.8,18.75,98.75,,,,,,,,,,82.05,,,,,0.3,,,,16.55,,,,,,,,,,,,,,825.3,,,,36.45,,,,1.8,,,69.6,,,,,,,,,,,,,,,,,,,,,,
Coimbatore,,11.0,92.45,550.33,739.87,167.95,217.65,367.5,223.7,,,215.55,73.95,,5.95,5.5,37.75,,,,,,,,,,,,,0.6,,60.05,,,,0.15,,,,,,,,,,,,,,460.65,0.1,,,44.4,0.3,,,7.75,,,26.95,,,,,,8.7,,,17.4,,,,,,,,,,,,,
Cuddalore,,,135.61,791.28,802.28,134.35,152.9,1339.57,174.1,,,206.15,205.8,1.0,208.45,0.9,91.4,,,,,,,,,,90.65,,,5.55,,68.95,,,,13.1,24.7,,,,,,,,,,,,,1364.19,2.25,,,49.7,4.5,,,3.45,,,169.53,,,,,,,,,1.25,,,,,,,,,,,,,
Dharmapuri,,,267.94,528.12,622.56,81.9,75.55,527.6,318.26,,,419.73,211.39,1.75,82.68,2.25,41.7,,,,,,,,,,86.5,,,32.45,,259.61,,,,2.0,,,,,,,,,,,,,,865.77,,,,25.87,0.05,,,26.2,,,51.95,,,,,,28.25,,,1.7,,,,,,,,,,,,,
Dindigul,,,212.5,765.58,626.8,196.5,318.35,1110.97,129.19,,,398.9,142.15,,42.0,8.65,175.85,,,,,,,,,,2.3,,,106.95,,97.05,,,,,,,,,,,,,,,,,,828.26,0.5,,,70.25,4.8,,,4.15,,,60.5,,,,,,39.0,,,5.0,,,,,,,,,,,,,
Erode,,,628.85,806.23,1359.89,238.85,278.23,1435.09,426.75,,,348.9,365.65,,63.5,3.0,41.35,,,,,,,,,,176.85,,,4.95,,31.3,,,,5.65,,,,,,,,,,,,,,1224.87,2.1,,,46.25,,,3.3,71.75,,,119.15,,,,,,31.0,,,16.9,,,,,,,,,,,,,
Kallakurichi,,,111.49,714.45,728.47,432.35,464.2,1524.57,111.35,,,224.5,148.05,1.0,339.1,,100.35,,,,,,,,,,32.25,,,,,139.05,,,,,,,,,,,,,,,,,,1008.69,,,,22.1,3.95,,,3.15,,,85.95,,,,,,0.45,,,20.15,,,,,,,,,,,,,
Kanchipuram,,,75.5,156.1,171.3,105.8,60.1,467.65,4.1,,,51.5,226.5,,4.15,,16.2,,,,,,,,,,9.7,,,,,,,,,6.95,,,,,,,,,,,,,,585.63,,,,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,,,
Kanniyakumari,,,30.09,229.58,406.64,7.9,109.7,441.74,0.25,,,676.94,208.86,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.53,,,,,,,,,,,14.45,,,,,,,,,,,,,,,,,,,,,,
